0	Chancellor is the Marshawn Lynch of the Seahawks defense	['B-TRG', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD']	1	0.9990968494	|Chancellor| is the *Marshawn Lynch* of /the Seahawks defense/																						
0	Dark Side Aloha Shirt I hear Darth Vader often went on holidays on Dagobah widely considered to be the Hawaii of planets	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'O', 'B-MOD']	1	0.9992777702	Dark Side Aloha Shirt I hear Darth Vader often went on holidays on |Dagobah| widely considered to be the *Hawaii* of /planets/																						
0	Donald Trump is the Lonesome Rhodes of our time	['B-TRG', 'I-TRG', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD']	1	0.9991559389	|Donald Trump| is the *Lonesome Rhodes* of /our time/																						
0	Donald Trump the Braggart Nonpareil	['O', 'O', 'O', 'O', 'I-SRC']	0	0.3975738279	Donald Trump the Braggart Nonpareil																						
0	Donaldsome of the hosts interjected	['O', 'O', 'O', 'O', 'O']	0	0.6506855663	Donaldsome of the hosts interjected																						
0	Egypt is the Hollywood of the Middle East he says	['B-TRG', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD', 'O', 'O']	1	0.9988032771	|Egypt| is the *Hollywood* of /the Middle East/ he says																						
0	Eric OFlaherty LHP	['O', 'O', 'O']	0	0.7039524742	Eric OFlaherty LHP																						
0	For example YouTube currently offers annotations and cards that can link out to merchandise websites such as Fandango or Movieticketscom	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999379413	For example YouTube currently offers annotations and cards that can link out to merchandise websites such as Fandango or Movieticketscom																						
0	Fridays announcement answered that loud and clear even if coaches and players were unavailable for comment	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999383954	Fridays announcement answered that loud and clear even if coaches and players were unavailable for comment																						
0	He labelled him without a doubt the Kevin Rudd of the Liberal Party	['O', 'O', 'B-TRG', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD']	1	0.999369081	He labelled |him| without a doubt the *Kevin Rudd* of /the Liberal Party/																						
0	Hes like the Sherlock Holmes of garbage Throughout the series the majority of fan emails that Whitesides received were from children who noticed a cleaning supply that wasnt in the book and suggested a magical purpose	['B-TRG', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	0.9995863789	|Hes| like the *Sherlock Holmes* of /garbage/ Throughout the series the majority of fan emails that Whitesides received were from children who noticed a cleaning supply that wasnt in the book and suggested a magical purpose																						
0	Hey Rick Chris is Orinda Mark in Arcadia	['O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD']	1	0.7000208605	Hey Rick Chris is Orinda Mark in Arcadia																						
0	Hovering in the area of 2600 Twitters stock price has underperformed in the last 52 weeks and no amount of optimism regarding upcoming products and appointments of new executives can hide that fact	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999388019	Hovering in the area of 2600 Twitters stock price has underperformed in the last 52 weeks and no amount of optimism regarding upcoming products and appointments of new executives can hide that fact																						
0	However 50 years of conversation is too long without seeing more movement and to a certain extent regression	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999380662	However 50 years of conversation is too long without seeing more movement and to a certain extent regression																						
0	I called up my family and asked them what I should vote for and they told me The Voice which I found acceptable because I do think creator Mark Burnett is the Ed Sullivan of our day	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'I-TRG', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD']	1	0.9990984436	I called up my family and asked them what I should vote for and they told me The Voice which I found acceptable because I do think creator |Mark Burnett| is the *Ed Sullivan* of /our day/																						
0	I was basically my version of theMichael Scott of car salesman which is a total contrast to the way David runs his stores	['B-TRG', 'O', 'O', 'O', 'O', 'O', 'O', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	0.9991180854	|I| was basically my version of the*Michael Scott* of /car salesman/ which is a total contrast to the way David runs his stores																						
0	If possible play a game together or even Netflix a couple of movies	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999380453	If possible play a game together or even Netflix a couple of movies																						
0	If youre in the market for a Bentley SUV likely north of 350000 tick the box for the 18speaker 1950watt unit from Naim arguably the Bentley of sound systems	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD']	1	0.9983901229	If youre in the market for a Bentley SUV likely north of 350000 tick the box for |the 18speaker 1950watt unit from Naim| arguably the *Bentley* of /sound systems/																						
0	Im kind of like the Donald Trump of love	['B-TRG', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD']	1	0.9987570143	|I|m kind of like the *Donald Trump* of /love/																						
0	Import and export OPML format OPML is sort of like the Rosetta Stone of mind mapping software It enables you to share maps with other programs	['O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	0.9990373473	Import and export OPML format |OPML| is sort of like the *Rosetta Stone* of /mind mapping software/ It enables you to share maps with other programs																						
0	In depth historical unit shipment data is provided for 2014 with a five year forecast from 20152019 also included	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999379965	In depth historical unit shipment data is provided for 2014 with a five year forecast from 20152019 also included																						
0	In Rosewood a comparatively lighthearted episodic quasipolice procedural premiering Wednesday on Fox Morris Chestnut plays Miamibased Dr Beaumont Rosewood a kind of freelance medical examiner considered by some to be the Beethoven of private pathologists as he likes to put it	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'I-TRG', 'I-TRG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O']	1	0.9994688388	In Rosewood a comparatively lighthearted episodic quasipolice procedural premiering Wednesday on Fox Morris Chestnut plays Miamibased |Dr Beaumont Rosewood| a kind of freelance medical examiner considered by some to be the *Beethoven* of /private pathologists/ as he likes to put it																						
0	In the article containing the 2015 ribs list Daily Meal editor Kate Kolenda calls Chris Lilly of Big Bob Gibson 1715 6th Ave	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'O', 'O', 'O', 'O']	1	0.837833251	In the article containing the 2015 ribs list Daily Meal editor Kate Kolenda calls Chris Lilly of Big Bob Gibson 1715 6th Ave																						
0	Is this an Eric Garner moment for the IsraelPalestine conflict	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MOD', 'I-MOD']	0	0.7497925756	Is |this| an *Eric Garner moment* for /the IsraelPalestine conflict/																						
0	It turns out the hosts of the Reply All podcast are like the Bruce and Tony of NPR	['O', 'O', 'O', 'O', 'I-TRG', 'O', 'B-TRG', 'I-TRG', 'O', 'I-TRG', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'I-SRC', 'O', 'B-MOD']	1	0.7707222604	It turns out |the hosts of the Reply All podcast| are like the *Bruce and Tony* of /NPR/																						
0	Johnson is completing 61 percent of his passes in the uptempo offense that has gotten off a nationleading 95 plays a game and has some people calling Bowling Green the Baylor of the MAC	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'I-TRG', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD']	1	0.999663334	Johnson is completing 61 percent of his passes in the uptempo offense that has gotten off a nationleading 95 plays a game and has some people calling |Bowling Green| the *Baylor* of /the MAC/																						
0	Kestelman now NBL executive chairman has been dubbed the Frank Lowy of basketball and says the sport is riding a wave of support in Australia only previously seen in the 1990s	['B-TRG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	0.9997798784	|Kestelman| now NBL executive chairman has been dubbed the *Frank Lowy* of /basketball/ and says the sport is riding a wave of support in Australia only previously seen in the 1990s																						
0	Lead vocalist Alice Cooper is the Godvoice of rock with a deep paternal sound that says Oh yes you will come along for this ride	['O', 'O', 'B-TRG', 'I-TRG', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	0.9989850715	Lead vocalist Alice Cooper is the Godvoice of rock with a deep paternal sound that says Oh yes you will come along for this ride																						
0	Manziel the No	['B-TRG', 'O', 'O']	0	0.6639948744	Manziel the No																						
0	Masten constituents do not want this Common Council Member Ulysees O Wingo of the Masten District	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-TRG', 'O', 'O', 'B-MOD', 'I-MOD', 'I-MOD']	0	0.7038121688	Masten constituents do not want this Common Council Member Ulysees O Wingo of the Masten District																						
0	Nevertheless I was surprised when I read that CapHatien was once known as The Paris of the Antilles	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD']	1	0.9993255614	Nevertheless I was surprised when I read that |CapHatien| was once known as The *Paris* of /the Antilles/																						
0	Nintendo is the Disney of the gaming world a controlling creative titan that creates beloved characters with shocking regularity	['B-TRG', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	0.9995929123	|Nintendo| is the *Disney* of /the gaming world/ a controlling creative titan that creates beloved characters with shocking regularity																						
0	Official Queensbridge Mutterers The Unfortunate Rap Detritus of the 1986 Mets	['O', 'O', 'O', 'O', 'O', 'O', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD']	1	0.7313435902	Official Queensbridge Mutterers The Unfortunate Rap Detritus of the 1986 Mets																						
0	Organized by season its pages are full of cards made specifically for holidays thankyous birthdays special events and much more	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999387249	Organized by season its pages are full of cards made specifically for holidays thankyous birthdays special events and much more																						
0	Overnight News Brazil should get sowers today and tomorrow then will be mostly dry	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999379512	Overnight News Brazil should get sowers today and tomorrow then will be mostly dry																						
0	Paige is known as the Robbie Farah of the team	['B-TRG', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD']	1	0.9994265506	|Paige| is known as the *Robbie Farah* of /the team/																						
0	Pair a long position in the ETF with a sold Nov 15 19600 call for a net debit of about 19079	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999394869	Pair a long position in the ETF with a sold Nov 15 19600 call for a net debit of about 19079																						
0	Products priced as low as499 each Buy 3 OFF	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999379943	Products priced as low as499 each Buy 3 OFF																						
0	Purge Yemen of scum	['O', 'O', 'O', 'B-MOD']	0	0.6722224571	Purge Yemen of scum																						
0	Quixotic Greek anticorruption crusader finally tastes success Athens AFP As Alexis Tsipras cruised to victory in Greeces general election the outcome must have tasted even sweeter for the man considered the Don Quixote of Greek politics	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'I-TRG', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD']	1	0.9994205424	Quixotic Greek anticorruption crusader finally tastes success Athens AFP As Alexis Tsipras cruised to victory in Greeces general election the outcome must have tasted even sweeter for |the man| considered the *Don Quixote* of /Greek politics/																						
0	Regardless of any autopsy warning or aspirationthis party is still badly fumbling on womens issues	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999384247	Regardless of any autopsy warning or aspirationthis party is still badly fumbling on womens issues																						
0	Remember you can email or message me your predictions thoughts and inae psychedelic ramblings at lukebrowntelegraphcouk or lukedbrown	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999382349	Remember you can email or message me your predictions thoughts and inae psychedelic ramblings at lukebrowntelegraphcouk or lukedbrown																						
0	Reuters US stockindex futures traded lower shortly before the opening bell Wednesday as investors avoided big bets ahead of the start of the Federal Reserves muchanticipated twoday meeting	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999381155	Reuters US stockindex futures traded lower shortly before the opening bell Wednesday as investors avoided big bets ahead of the start of the Federal Reserves muchanticipated twoday meeting																						
0	Sensing that shes a bit adrift Nickbecomes the Captain America of chivalry and upon learning her purse was stolen which included her wallet and credit cards hes determined to help her get home	['O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	0.9997242586	Sensing that shes a bit adrift |Nick|becomes the *Captain America* of /chivalry/ and upon learning her purse was stolen which included her wallet and credit cards hes determined to help her get home																						
0	Shes like a Debussy of the modern computer and these hand effects	['B-TRG', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD', 'O', 'O', 'O', 'O']	1	0.9985906754	|She|s like a *Debussy* of /the modern computer and these hand effects/																						
0	Statements that are not historical facts including statements about Markels and CATCos beliefs plans or expectations are forwardlooking statements	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999381485	Statements that are not historical facts including statements about Markels and CATCos beliefs plans or expectations are forwardlooking statements																						
0	Statements that are not historical facts including statements about TechFaiths beliefs and expectations are forwardlooking statements	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999395459	Statements that are not historical facts including statements about TechFaiths beliefs and expectations are forwardlooking statements																						
0	Sure many pages are wasted on stuff we already seen warscrolls the rules etc	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999386707	Sure many pages are wasted on stuff we already seen warscrolls the rules etc																						
0	Susan is the Sarah Connor of philosophy as she ponders the role of science fiction and thought experiments to help understand uploading time travel superintelligence the Singularity a new approach to the computational theory of mind consciousness and physicalism	['B-TRG', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	0.9998279224	|Susan| is the *Sarah Connor* of /philosophy/ as she ponders the role of science fiction and thought experiments to help understand uploading time travel superintelligence the Singularity a new approach to the computational theory of mind consciousness and physicalism																						
0	The coroners office initially misidentified the Metcalf Road victim as Jaleel Alexander of San Jose	['O', 'O', 'O', 'O', 'O', 'O', 'I-TRG', 'I-TRG', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD']	1	0.8442709328	The coroners office initially misidentified the Metcalf Road victim as Jaleel Alexander of San Jose																						
0	The Essex County Warriors is the Leamington Essex Districtbranch of Special Olympics Ontario	['B-TRG', 'I-TRG', 'I-TRG', 'I-TRG', 'O', 'O', 'B-SRC', 'I-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD']	1	0.8393455273	The Essex County Warriors is the Leamington Essex Districtbranch of Special Olympics Ontario																						
0	The firies and the police were fantastic I couldnt give them enough thanks said Kerrie Solomon the daughterinlaw of the buildings owners Barry and Dot Solomon	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'I-TRG', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD', 'O', 'I-MOD', 'O', 'I-MOD']	1	0.7679680393	The firies and the police were fantastic I couldnt give them enough thanks said Kerrie Solomon the daughterinlaw of the buildings owners Barry and Dot Solomon																						
0	the glass slipper of our generation	['O', 'O', 'O', 'O', 'B-MOD', 'I-MOD']	0	0.7919987325	the glass slipper of our generation																						
0	THEIR back line flamboyance has seen them dubbed the Brazil of rugby by UK press but Michael Cheika believes Fjiis forward pack are the underrated and dangerous element of their first World Cup foe	['O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	0.999562834	THEIR back line flamboyance has seen |them| dubbed the *Brazil* of /rugby/ by UK press but Michael Cheika believes Fjiis forward pack are the underrated and dangerous element of their first World Cup foe																						
0	Theres a great excitation waiting for the viewers because of the previous highly tampering competition	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.999938139	Theres a great excitation waiting for the viewers because of the previous highly tampering competition																						
0	Theres a great excitation waiting for the viewers because of the previous highly tampering competition	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.999938139	Theres a great excitation waiting for the viewers because of the previous highly tampering competition																						
0	They had a massive teen following sold more than 100 million records and have been described as the One Direction of their day	['B-TRG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD']	1	0.9986050941	|They| had a massive teen following sold more than 100 million records and have been described as the *One Direction* of /their day/																						
0	Theyre the Budweiser and Miller Lite of spirits	['B-TRG', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD']	1	0.8018166324	|Theyre| the *Budweiser* and *Miller Lite* of /spirits/																						
0	Tickets for Extremities are 25 with discounts for patrons under the age of 30 available at darkstormyorg or by calling 6124014506	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999382807	Tickets for Extremities are 25 with discounts for patrons under the age of 30 available at darkstormyorg or by calling 6124014506																						
0	Tickets for leaving scraps out start at a few hundred dollars escalating to 575 OR a court date for a second infraction	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999408738	Tickets for leaving scraps out start at a few hundred dollars escalating to 575 OR a court date for a second infraction																						
0	To some Kampala is a concrete jungle to some to others it is the Canaan of matooke and pork to others	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'O', 'O', 'I-MOD', 'O', 'O', 'O']	1	0.8261918136	To some Kampala is a concrete jungle to some to others |it| is the *Canaan* of /matooke and pork/ to others																						
0	Twitter is the dominant democracy of the socialsharing economy	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MOD', 'I-MOD']	0	0.7892280505	Twitter is the dominant democracy of the socialsharing economy																						
0	Uzo Aduba is the new Ed Asner	['O', 'I-TRG', 'O', 'O', 'O', 'O', 'O']	0	0.807787163	|Uzo Aduba| is the /new/ *Ed Asner*																						
